model,period,count,bat_yn,dis_yn,cam_yn,body_yn,func_yn,proc_yn,stor_yn,acc_yn,main_yn,bat_p,dis_p,cam_p,body_p,func_p,proc_p,stor_p,acc_p,main_p,bat_n,dis_n,cam_n,body_n,func_n,proc_n,stor_n,acc_n,main_n,bat_m,dis_m,cam_m,body_m,func_m,proc_m,stor_m,acc_m,main_m
galaxy_s3,4,658,92,48,24,64,24,3,9,44,14,9,13,13,19,6,2,4,5,6,82,35,11,49,17,1,3,37,6,4,2,1,2,3,0,3,6,3
iphone5,1,542,69,108,58,147,71,18,47,68,59,25,74,37,80,34,13,25,30,34,51,53,27,80,48,6,19,45,22,5,7,6,14,7,3,9,7,13
iphone5,2,771,59,64,38,141,50,9,31,111,40,14,28,18,67,29,8,19,25,27,45,34,20,77,22,1,9,91,10,1,6,3,6,2,0,4,5,4
iphone5,3,2190,332,145,54,304,118,2,42,222,48,45,31,17,122,23,2,20,49,22,294,114,37,200,95,0,16,173,20,9,3,2,6,5,0,7,11,7
iphone5,4,1509,343,129,44,239,92,2,22,139,27,16,19,9,86,19,1,10,25,11,331,109,34,162,73,1,9,114,13,5,2,2,6,5,0,5,8,5
galaxy_s4,1,1191,196,260,189,212,163,50,94,112,131,69,169,132,103,101,35,50,41,75,138,123,70,132,83,22,50,71,69,12,9,9,12,13,3,7,8,10
galaxy_s4,2,1278,142,105,72,118,76,18,41,82,61,34,44,40,37,23,12,14,12,24,112,65,37,84,52,6,28,68,39,6,2,1,3,6,1,5,8,6
galaxy_s4,3,1065,118,103,46,112,69,7,27,64,41,16,30,26,42,12,4,12,12,17,105,73,21,70,58,3,12,53,20,1,5,1,7,2,0,3,7,5
galaxy_s4,4,511,63,40,21,39,34,2,8,28,11,8,11,6,11,7,1,1,6,2,56,28,14,30,28,1,6,23,8,2,2,2,1,0,0,1,2,1
iphone_5s,1,551,43,56,59,113,84,22,40,50,55,20,30,38,73,53,12,14,13,25,28,35,24,49,41,10,14,33,22,4,7,6,12,11,2,16,10,17
iphone_5s,2,1791,101,97,51,219,83,10,45,152,54,25,26,29,116,37,6,16,40,22,75,73,25,108,51,4,22,109,26,4,4,1,17,6,0,11,11,11
iphone_5s,3,1557,119,121,40,216,99,6,47,128,56,18,17,20,109,33,4,22,31,26,100,105,20,116,66,2,22,98,26,6,4,3,9,3,0,8,6,9
iphone_5s,4,1345,173,109,25,194,74,4,32,104,37,21,14,6,67,15,2,13,30,14,152,95,19,130,60,2,17,73,22,4,4,1,9,3,0,4,11,4
galaxy_s5,1,2717,401,453,360,473,350,72,99,232,152,242,314,274,293,200,48,51,88,92,181,171,132,253,199,31,50,158,72,30,23,14,49,25,1,19,29,19
